id,review_text,cleaned_text
42,"Взяла 100 мл, с дочкой на двоих, игристый, сладкий, легкий аромат. Не надоедает, хочется им обливаться.",взяла 100 мл дочкой двоих игристый сладкий легкий аромат надоедает хочется обливаться
43,"Прекрасный женственный аромат! Очень комплиментарный, приятный матовый флакон. Мягкое и пушистое облачко сахарной ваты, зефира и легкий цитрусовый аккорд. Стойкий и шлейфовый.",прекрасный женственный аромат комплиментарный приятный матовый флакон мягкое пушистое облачко сахарной ваты зефира легкий цитрусовый аккорд стойкий шлейфовый
44,"Приятный, легкий, сладкий аромат ) подойдет на любое время года , и на каждый день будет отлично !))",приятный легкий сладкий аромат подойдет время года день отлично
45,"Очень женственный, нежный аромат! Слышу в данном аромате сладость маршмеллоу, пудровые ноты вместе с амброксаном. Стойкий и шлейфовый.",женственный нежный аромат слышу аромате сладость маршмеллоу пудровые ноты вместе амброксаном стойкий шлейфовый
46,"Понравился этот аромат. Пудровый, нежный, женственный. На весну идеально. Не душит и при этом довольно стойкий.",понравился аромат пудровый нежный женственный весну идеально душит стойкий
47,"я в восторге от этого аромата, он сладкий, нежный, не приторный, я слышу в нем какую то нотку дерзости, может быть это цитрус, ооочень вкусный и обалденный аромат",восторге аромата сладкий нежный приторный слышу какую нотку дерзости цитрус ооочень вкусный обалденный аромат
48,"Отличный аромат очень нежный, обволакивающий. Доставка быстрая, упаковано хорошо. Сам отливант выглядит очень потрясающе",отличный аромат нежный обволакивающий доставка быстрая упаковано отливант выглядит потрясающе
49,"Это такой девчачий вкусный аромат, сладкая розовая вата. Мне очень понравился, взяла пока 8 мл, что бы носить его в сумке в розовом кофре и пользоваться им для настроения.",девчачий вкусный аромат сладкая розовая вата понравился взяла 8 мл носить сумке розовом кофре пользоваться настроения
50,"Неизменная классика, приятный аромат, миниатюра - возможность выбрать из множества то, что больше подходит",неизменная классика приятный аромат миниатюра возможность выбрать множества подходит
51,оригинал. шлейф потрясающий. стойкий. цена радует. очень рекомендую покупать . доставка быстрая. упаковка отличная,оригинал шлейф потрясающий стойкий цена радует рекомендую покупать доставка быстрая упаковка отличная
52,Очень нравится всё что делает Byredo. Конкретно этот аромат лёгкий и ненавязчивый но притягательный.,нравится делает byredo конкретно аромат лёгкий ненавязчивый притягательный
53,"Это действительно любовь с первого вдоха! Нежный кремовый аромат с цветочным и цитрусовыми нотами. Ни к чему не обязывает, хорош на каждый день",любовь первого вдоха нежный кремовый аромат цветочным цитрусовыми нотами ни обязывает хорош день
54,"Самая любимый, всегда есть в коллекции. Запоминающийся и неповторимый. Моя любовь уже долгие годы стойкость очень хорошая. Его не спутаешь не с каким ароматом. Он уникальный",любимый коллекции запоминающийся неповторимый любовь долгие годы стойкость хорошая спутаешь ароматом уникальный
55,"Обожаю этот аромат! И в пир и в мир, очень универсальный. Для меня это кремовые свежие сладкие цитрусы с цветами на мягкой древесной базе",обожаю аромат пир мир универсальный кремовые свежие сладкие цитрусы цветами мягкой древесной базе
56,"Свежий, женский, девичий, немного сладкий, теплый, почти весенний.. очень его люблю. Особенно на волосах ✨",свежий женский девичий сладкий теплый весенний люблю волосах ✨
57,"Невероятно красивый и комплиментарный аромат ✨ Сочетание свежести, лёгкой сладости и тёплой древесной базы звучит очень гармонично. Есть ощущение солнца, тепла и лёгкой экзотики. Универсальный - подходит и днём, и вечером. Один из тех ароматов, к которым хочется возвращаться.",невероятно красивый комплиментарный аромат ✨ сочетание свежести лёгкой сладости тёплой древесной базы звучит гармонично ощущение солнца тепла лёгкой экзотики универсальный подходит днём вечером ароматов хочется возвращаться
58,"Мои самые любимые духи. Беру их постоянно, никогда не надоедают мне. Пользуюсь им в любое время года",самые любимые духи беру постоянно надоедают пользуюсь время года
59,"Аромат очень понравился, запах свежести , не принужденный , хорошо на любое время года.возьму в большем обьеме",аромат понравился запах свежести принужденный время года возьму большем обьеме
60,Santal 33 от Le Labo для меня это культовая древесина с дымком С первых пшиков бьет сухой сандал с кожей и кардамоном будто сидишь у костра в кожаной куртке Потом добавляется ирис фиалка и легкая папирусовая бумага все становится кремовым и пудровым В базе остается теплый сандал с ветивером и амброй без сладости но с характерной дымностью,santal 33 le labo культовая древесина дымком первых пшиков бьет сухой сандал кожей кардамоном сидишь костра кожаной куртке добавляется ирис фиалка легкая папирусовая бумага становится кремовым пудровым базе остается теплый сандал ветивером амброй сладости характерной дымностью
61,"Начала с осторожных полутора миллилитров. С первого распыления этот аромат стал моим фаворитом. Это самый красивый древесный парфюм. В день бренда заказала себе восьмёрку, а надо было брать флакон.",осторожных полутора миллилитров первого распыления аромат фаворитом красивый древесный парфюм день бренда заказала восьмёрку брать флакон
62,"Прекрасный унисекс аромат. Я отношу такие к разряду чернильные. Стойкость шикарная, более 7 часов на коже. Очень нравится на муже",прекрасный унисекс аромат отношу разряду чернильные стойкость шикарная 7 часов коже нравится муже
63,"отличный выбор для тех, кто ценит стильные и оригинальные ароматы. Он раскрывается тёплым, древесно-пряным звучанием, звучит очень многогранно и богато. Стойкость на высоком уровне, шлейф заметный, но не навязчивый, аромат держится на коже и одежде долго. Отлично подходит как для повседневной носки, так и для особенных моментов.",отличный выбор ценит стильные оригинальные ароматы раскрывается тёплым древесно пряным звучанием звучит многогранно богато стойкость высоком уровне шлейф заметный навязчивый аромат держится коже одежде отлично подходит повседневной носки особенных моментов
64,"Какая же вкуснятина этот сантал. Действительно, парфюм который угадаешь из сотни. Визитная карточка бренда, которую обязательно надо затестить. Спасибо randewoo за возможность взять пробник и познакомиться с ароматом. P.S. Очень хочется повторить этот опыт летом в обьеме побольше",вкуснятина сантал парфюм угадаешь сотни визитная карточка бренда обязательно затестить спасибо randewoo возможность взять пробник познакомиться ароматом p s хочется повторить опыт летом обьеме побольше
65,"Заслуженно культовый аромат. Я фанатка сандала в любом его парфюмерном проявлении, от благовоний для окуривания до рассола, и Santal 33 люблю всей душой. Травно-пряный - укропчик, деревяшки, кожа. Невероятно стойкий и шлейфовый, самое красивое раскрытие в сезон дождей. Берите на осень, не пожалеете.",заслуженно культовый аромат фанатка сандала парфюмерном проявлении благовоний окуривания рассола santal 33 люблю душой травно пряный укропчик деревяшки кожа невероятно стойкий шлейфовый красивое раскрытие сезон дождей берите осень пожалеете
66,"Santal 33 - завораживающий древесно-кожаный аромат. Необычный, стойкий, с шикарным шлейфом. Точно не останется незамеченным",santal 33 завораживающий древесно кожаный аромат необычный стойкий шикарным шлейфом останется незамеченным
67,"Le Labo Santal 33 -- это что-то особенное. Кремовый сандал с лёгким дымком крайне затягивает. Когда наношу, ловлю себя на мысли, что иногда он даже окрыляет",le labo santal 33 особенное кремовый сандал лёгким дымком крайне затягивает наношу ловлю мысли окрыляет
68,"Очень шикарный аромат, весенний , шлейфовый, никакого рассола в нем не слышу. Парфюм комплиментарен и очень стойкий.",шикарный аромат весенний шлейфовый никакого рассола слышу парфюм комплиментарен стойкий
