id,review_text
69,"Для меня это аромат характера и внутренней свободы. Древесный, теплый, с легкой кожаной дымкой звучит очень стильно и не банально. В нём есть сухость сандала, немного специй и что-то притягательно-интимное. Он раскрывается по-разному на коже и каждый раз ощущается по-новому. Очень комплиментарный и запоминающийся"
70,"Отличный парфюм, положили в подарок несколько парфюмов, влюбилась во все ) теперь буду покупать только тут, еще и подругам рассказала про сайт !"
71,"В целом, я очень довольна своей покупкой. Этот аромат стал одним из моих любимых, и я с удовольствием рекомендую его всем, кто ищет что-то особенное и запоминающееся."
72,"Заказала версию 8 мл, с первого пшика аромат полюбился, очень яркий и вкусный. Рекомендую, хотя бы для пробы, а там и версию побольше заказать."
73,"Как только я его попробовала, поняла, что в нем есть и женственность, и сила. Мне однозначно подошел, приобрету полную версию."
74,"Пришло вовремя, с подарками, всё в отличном состоянии. Буду продолжать пользоваться этим магазином. Спасибо!"
75,"Мой любимый парфюм! Комплиментарыный,без внимания не останетесь🔥буду заказывать полноразмерный флакон"
76,"Ex Nihilo Fleur Narcotique - очаровательная цветочно-фруктовая композиция с нежной игрой персика, груши и пиона. Лёгкий, свежий, с деликатным шлейфом мускуса. Идеален для тёплых дней: дарит ощущение воздушности и элегантной непринуждённости."
77,"Заказывала подруге , она прям балдеет от этого аромата. Ей очень нравится, пользуется каждый день. Спасибо"
78,"Мои самые любимые, стойкие, насыщенные, мне никогда не разонравится этот аромат, беру уже не первый флакон, очень удобная дозировка"
79,"Мои любимые, беру уже не первый флакон, пятый или шестой, ну очень вкусные, стойкие, насыщенные и все нравится, сразу столько вопросов что за аромат)"
80,"Это просто божественно. Ром, перетекающий в кофе и шоколад. Аромат сводит с ума и заставляет чувствовать себя королём вечера."
81,"Очень вкусный аромат! На старте чувствуется алкоголь, потом раскрывается шоколад со сладостью. Было приятно ознакомиться с данным парфюмом."
82,"Прекрасный аромат, очень стойкий, а как он раскрывается на холоде, это нечто, всем советую к затесту, отличный унисекс"
83,"Один из немногих дымных ароматов, которые комфортно могу носить и мне нравится очень. Поэтому Блэк Фантом для меня всегда имеет место быть)"
84,"О, это очень вкусно! На старте - миндаль и чёрный шоколад, потом - алкогольная карамель, ром, кофе, кожа, землистые пачули. Унисекс, и просто секс. Вечерний. Очень хочется иметь в коллекции. Похож на Акро Дарк, но с орешками."
85,"беру не первый раз. Любимый аромат на прохладное время года. Один из комплиментарных ароматов. В целом, я очень довольна своей покупкой. Этот аромат стал одним из моих любимых, и я с удовольствием рекомендую его всем, кто ищет что-то особенное и запоминающееся."
86,"Крутой вечерний аромат на прохладное время года. Очень глубокий, мужской. То что нужно чтобы выделиться в толпе"
87,"Киллиан блэк фантом из всех понравился больше всего. Очень сладкий, стойкий и не похожий ни на что аромат, кайф"
88,"Аромат для ценителей люкса, нишевый, стойкий, очень дорогой шлейф, расход минимальный, идеально подойдет для мужчин и женщин"
89,"Купила мужу на день рождения и ему очень понравился аромат. На его коже раскрылся карамелью и табаком. Стойкий, манящий"
90,"Я люблю этот аромат, чистый, стерильный, необычный, но не отталкивающий, прозрачный, металлический, но манкий. Он сложный и оттого прекрасен. Бинты и йод присутствуют, но меня это только притягивает"
91,Baccarat Rouge 540 от Maison Francis Kurkdjian мне сразу понравился своей уникальностью Сначала сладкая шафрановая нота с миндальной амброй и легкой кислинкой как красная икра в сахаре Потом раскрывается жасмин с древесной теплотой и немного жженого сахара В базе густой кедр амбра и смолистый уд все становится кремовым и дорогим Запах сладкий но не приторный держится зверски 12 часов и больше шлейф мощный Беру на осень зиму вечер или когда хочется комплиментов и роскоши
92,Моя любовь была есть и будет всегда! Прекрасный вкусный сладкий аромат! Слышу все заявленные ноты и они все прекрасны!
93,"культовый унисекс-аромат, вызывающий полярные эмоции, восторг! Сложный сладковато древесный аромат ,многие чувствуют Карамель ,Шафран ,миндаль .Очень высокая стойкость шлейф длинный, подходит как мужчинам так и женщинам."
